12	64
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	3	4	5	6	0	0	7	8	0	0	5	6	3	4	5	6	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	11	12	13	14	15	16	0	0	17	18	0	0	15	16	13	14	15	16	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	20	15	16	21	22	15	16	0	0	18	23	0	0	15	16	21	22	15	16	
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	25	26	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	27	28	15	16	0	0	15	16	0	0	29	30	0	0	15	16	0	0	15	16	
31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	15	16	31	31	31	31	32	32	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	15	16	0	0	15	16	0	0	33	34	0	0	15	16	0	0	15	16	
35	36	35	36	35	36	35	36	35	36	35	36	35	36	35	36	15	16	35	36	35	36	37	37	35	36	38	39	40	41	35	36	35	36	35	36	35	36	35	36	35	36	35	36	35	36	15	16	0	0	15	16	42	43	23	44	42	43	15	16	0	0	15	16	
45	46	45	46	45	46	45	46	45	46	45	46	45	46	45	46	15	16	45	46	45	46	45	46	45	46	47	21	22	48	45	46	45	46	45	46	45	46	45	46	45	46	45	46	45	46	15	16	0	0	15	16	49	50	18	23	49	50	15	16	0	0	51	52	
34	33	34	33	53	54	55	56	34	33	34	33	34	33	34	33	15	16	34	57	58	57	58	57	58	57	59	0	0	60	58	57	58	57	58	57	58	57	58	57	58	33	34	33	34	33	51	52	42	43	15	16	61	62	17	18	61	62	15	16	42	43	25	26	
33	34	33	34	47	21	22	48	33	34	33	34	33	34	33	34	15	16	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	63	34	33	34	0	0	49	50	51	52	63	34	18	23	33	34	51	52	49	50	15	16	
58	57	58	57	59	0	0	60	58	57	58	57	58	57	58	57	51	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	57	58	57	0	0	61	62	25	26	65	66	29	30	34	33	25	26	61	62	15	16	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	58	51	52	57	58	57	58	57	58	51	52	57	58	51	52	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
