11	64
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	3	4	5	6	0	0	7	8	0	0	5	6	3	4	5	6	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	5	6	11	12	5	6	0	0	8	13	0	0	5	6	11	12	5	6	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	15	5	6	0	0	5	6	0	0	7	8	0	0	5	6	0	0	5	6	
16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	5	6	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	18	5	6	0	0	5	6	0	0	19	20	0	0	5	6	0	0	5	6	
21	22	21	22	21	22	21	22	21	22	21	22	21	22	21	22	5	6	23	24	23	24	25	25	23	24	23	24	23	24	23	24	23	24	23	24	23	24	23	24	23	24	23	24	23	24	5	6	0	0	5	6	0	0	20	19	0	0	5	6	0	0	5	6	
26	27	26	27	26	27	26	27	26	27	26	27	26	27	26	27	5	6	26	27	26	27	28	29	26	27	30	11	12	31	26	27	26	27	26	27	26	27	26	27	26	27	26	27	26	27	5	6	0	0	5	6	32	33	8	13	32	33	5	6	0	0	5	6	
13	34	13	34	13	34	13	34	13	34	13	34	13	34	13	34	5	6	13	34	13	34	13	34	13	34	35	0	0	36	13	34	13	34	13	34	13	34	13	34	13	34	13	34	13	34	5	6	0	0	5	6	3	4	7	8	3	4	5	6	0	0	0	0	
19	20	19	20	30	11	12	31	19	20	19	20	19	20	19	20	5	6	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	19	20	19	20	0	0	32	33	5	6	19	20	8	13	19	20	5	6	32	33	5	6	
20	19	20	19	35	0	0	36	20	19	20	19	20	19	20	19	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	19	20	19	0	0	3	4	0	0	20	37	7	8	20	19	0	0	3	4	5	6	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	20	5	6	19	20	19	20	19	20	5	6	19	20	5	6	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
